,threshold,sensitivity,specificity,ppv,npv
0,0.1,0.9968494013862634,0.22308426832179518,0.10835616438356165,0.9986641731231632
1,0.15000000000000002,0.980466288594833,0.4171640009548818,0.13743154919625508,0.9955846745477852
2,0.20000000000000004,0.9565217391304348,0.5384339937932681,0.16407263294422827,0.992410075899241
3,0.25000000000000006,0.9262759924385633,0.6298639293387444,0.19160583941605838,0.9890357042451504
4,0.30000000000000004,0.8947700063011972,0.7002267844354261,0.22039422629209995,0.9859663865546219
5,0.3500000000000001,0.8449905482041588,0.7595488183337312,0.24972067039106144,0.9810375395051261
6,0.40000000000000013,0.7952110901071203,0.8087849128670327,0.2825794894760412,0.9765799524392881
7,0.45000000000000007,0.7429111531190926,0.8473382668894724,0.3154937115333155,0.9720662741339176
8,0.5000000000000001,0.6855702583490864,0.878670327047028,0.3486062159564242,0.9672184995401393
9,0.5500000000000002,0.6307498424700693,0.9055263786106469,0.38738390092879255,0.9628148994225522
10,0.6000000000000002,0.5608065532451165,0.930711386965863,0.43393466601657726,0.9572182666339307
11,0.6500000000000001,0.4896030245746692,0.9509429458104559,0.48592870544090055,0.9516244624940277
12,0.7000000000000002,0.40894770006301195,0.9664597756027692,0.5359207266721717,0.9452486574830726
13,0.7500000000000002,0.3276622558286074,0.9796490809262354,0.6039488966318235,0.9389657933874843
14,0.8000000000000002,0.23629489603024575,0.9903318214370972,0.6983240223463687,0.9319330562731664
15,0.8500000000000002,0.13295526149968495,0.9970756743852949,0.8115384615384615,0.9239064314549577
