,0
n_samples,14038.0
mortality_rate,0.08647955549223536
prediction_rate,0.17231799401624162
true_positive_rate,0.8064250411861614
false_positive_rate,0.11228945726762318
auc,0.9307218189535478
n_samples,1930.0
mortality_rate,0.08134715025906736
prediction_rate,0.15854922279792746
true_positive_rate,0.7834394904458599
false_positive_rate,0.10321489001692052
auc,0.9339418955960066
n_samples,921.0
mortality_rate,0.08686210640608034
prediction_rate,0.16503800217155265
true_positive_rate,0.85
false_positive_rate,0.0998810939357907
auc,0.9614298454221165
n_samples,222.0
mortality_rate,0.09009009009009009
prediction_rate,0.17117117117117117
true_positive_rate,0.85
false_positive_rate,0.10396039603960394
auc,0.9547029702970298
n_samples,148.0
mortality_rate,0.0945945945945946
prediction_rate,0.22972972972972974
true_positive_rate,0.9285714285714286
false_positive_rate,0.15671641791044777
auc,0.9797441364605545
n_samples,791.0
mortality_rate,0.10998735777496839
prediction_rate,0.202275600505689
true_positive_rate,0.8275862068965517
false_positive_rate,0.125
auc,0.9218586729362591
